"transcript_id","gene_id","gene_name","width","Num_Exons","log2_fold_change","q_val","prot_coding_pot","TSS","PolyA","Intergenic"
"ENST00000616787.2","MSTRG.2237","SEP15",51978,"5",-4.45016104916086,0.00925932546706044,0.0936147016835309,TRUE,TRUE,FALSE
"ENST00000369580.3","MSTRG.2472","BCL2L15",9292,"2",-2.03077420178973,2.09110768323679e-09,0.174087111609788,TRUE,TRUE,FALSE
"ENST00000436383.1","MSTRG.3742","LINC00707",63309,"5",2.61788876047495,1.93601654944206e-44,0.0800597597139163,TRUE,TRUE,FALSE
"ENST00000305991.2","MSTRG.6039","SLN",4679,"2",2.77394425538007,0.00583063698683601,0.00198638078581787,TRUE,TRUE,FALSE
"ENST00000550214.1","MSTRG.6892","RP11-469H8.6",4053,"2",-3.17056843087401,0.000890723248430418,0.0954866515721815,TRUE,TRUE,FALSE
"ENST00000549985.1","MSTRG.7405","ELK3",20227,"4",3.52743309870276,0.0118237654973055,0.00391955114582219,TRUE,TRUE,FALSE
"ENST00000533506.3","MSTRG.8694","C14orf182",2145,"4",2.19567674254066,4.51546792481481e-05,0.0822057566920349,TRUE,TRUE,FALSE
"ENST00000558489.1","MSTRG.8761","BMP4",1183,"2",-3.11244757712522,0.000834504370923841,0.292751776380496,TRUE,TRUE,FALSE
"ENST00000453973.3","MSTRG.16434","CAPG",3982,"4",3.6748778225357,0.00275942096633811,0.0970743010446966,TRUE,TRUE,FALSE
"ENST00000597173.3","MSTRG.16816","TEX41",129331,"2",2.91952364392375,7.78660625315413e-07,0.0401631134831646,TRUE,TRUE,FALSE
"ENST00000439050.1","MSTRG.16896","AC009299.3",4312,"2",4.05999051937914,7.9493427514219e-08,0.00957987611522277,TRUE,TRUE,FALSE
"ENST00000461696.1","MSTRG.19407","ANKRD28",16543,"3",3.21135604662862,0.0159386011588774,0.142021207157925,TRUE,TRUE,FALSE
"ENST00000514265.1","MSTRG.21560","RP11-184M15.1",2560,"2",2.18157783350631,1.23026060590209e-05,0.0058051387677481,TRUE,TRUE,FALSE
"ENST00000394228.3","MSTRG.21581","NDUFC1",12635,"6",3.85960331827611,0.00199978303236077,0.317570460658844,TRUE,TRUE,FALSE
"ENST00000508269.1","MSTRG.21622","HHIP-AS1",3066,"2",2.08878876162621,0.0125686154347282,0.0291699757287656,TRUE,TRUE,FALSE
"ENST00000515734.2","MSTRG.22132","PART1",3806,"2",3.88291035895212,3.04675900244163e-06,0.0439619234436378,TRUE,TRUE,FALSE
"ENST00000515091.1","MSTRG.22681","SPOCK1",1047,"2",3.76136303274666,0.000628686724807679,0.119299932759173,TRUE,TRUE,FALSE
"ENST00000520067.3","MSTRG.23023","CTC-308K20.1",3993,"4",3.52408495676275,0.0243628248842074,0.297340267579718,TRUE,TRUE,FALSE
"ENST00000506206.3","MSTRG.23728","RP1-27K12.2",52952,"3",-3.03225456399287,0.00784914278123676,0.0101408350905321,TRUE,TRUE,FALSE
"ENST00000447171.1","MSTRG.24657","AC007255.8",48895,"3",-2.78653060918516,0.00382446871398663,0.0923103955668994,TRUE,TRUE,FALSE
"ENST00000518592.3","MSTRG.26187","CLVS1",213674,"5",4.00109080697929,2.82554879147194e-09,0.333632095824317,TRUE,TRUE,FALSE
"ENST00000587883.3","MSTRG.26650","JRK",6070,"2",3.21823565308927,0.00723653975914755,0.0927505828128737,TRUE,TRUE,FALSE
"ENST00000522591.1","MSTRG.26652","LY6K",3693,"2",2.51402864442028,0.00129968192924276,0.313017581061944,TRUE,TRUE,FALSE
