"target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"ENST00000264563.4",3.28859290105603e-08,0.000380075879836458,30.5293163766712,13.4463283548304,1,6.19507349162,2.68926567096608,0.00506738908045443,2.68419828188563,0.0336136988082784,2.68419828188563
"ENST00000359534.3",2.34590752282534e-08,0.000380075879836458,31.1848418167685,10.2669376511631,1,6.23477314496527,2.05338753023262,0.00296655349847824,2.05042097673415,0.033122452227354,2.05042097673415
"ENST00000371817.5",1.6248606453788e-08,0.000380075879836458,31.8979797283755,7.84798417510554,1,7.87442064951053,1.56959683502111,0.00218183769392695,1.56741499732718,0.0200953249223356,1.56741499732718
"ENST00000373700.6",3.38606284455883e-08,0.000380075879836458,30.4726524503792,4.63496191289481,1,7.45918722534163,0.926992382578962,0.00194857137160774,0.925043811207354,0.0222016626994753,0.925043811207354
"ENST00000374736.5",2.45790382239336e-08,0.000380075879836458,31.0943136376866,10.6871038250642,1,6.04782296596325,2.13742076501285,0.00308257899974827,2.1343381860131,0.0355278960276597,2.1343381860131
"ENST00000552150.3",9.70287630468676e-09,0.000380075879836458,32.8998898887657,81.9183056363518,1,3.00181888096112,16.3836611272704,0.00501156102853119,16.3786495662418,0.196496422299596,16.3786495662418
"MSTRG.25851.2",1.07784416315161e-08,0.000380075879836458,32.6955371043247,28.6339320755036,1,5.49541634210196,5.72678641510071,0.0320465231837208,5.69473989191699,0.0443762209761061,5.69473989191699
"ENST00000379019.4",6.33118242805096e-08,0.000382140076771049,29.2592939538235,3.71544568932743,1,7.33588296109654,0.743089137865485,0.00405906483688416,0.739030073028602,0.0229584240976429,0.739030073028602
"ENST00000394945.3",7.33479170381551e-08,0.000382140076771049,28.9742212955748,74.0418710733435,1,2.81165738388808,14.8083742146687,0.0152608673023033,14.7931133473664,0.242683211254056,14.7931133473664
"ENST00000395938.4",7.7816059312191e-08,0.000382140076771049,28.8596791127041,3.6769452855837,1,7.23363347265457,0.73538905711674,0.00206127364374785,0.733327783472991,0.02363628800224,0.733327783472991
"ENST00000448775.3",4.88299209478532e-08,0.000382140076771049,29.7626910845259,7.13418998204018,1,6.15693211411108,1.42683799640804,0.00388072268775408,1.42295727372028,0.034095229936463,1.42295727372028
"ENST00000489523.3",6.86616489101517e-08,0.000382140076771049,29.1021245144814,6.70469358598478,1,7.7863314857634,1.34093871719695,0.00150154607662746,1.33943717112033,0.0204889527571053,1.33943717112033
"ENST00000549078.3",7.623464628294e-08,0.000382140076771049,28.8994477215,4.72014767956176,1,7.535242807939,0.944029535912349,0.00147651528397035,0.942553020628383,0.0217664162389551,0.942553020628383
"ENST00000584437.3",4.64305226202088e-08,0.000382140076771049,29.8603766891896,16.2841846476278,1,5.78501386545021,3.25683692952555,0.0316044871713668,3.22523244235419,0.0393643389125658,3.22523244235419
"MSTRG.20766.2",4.37255611473969e-08,0.000382140076771049,29.9767599191656,6.13164251618365,1,6.37335960463446,1.22632850323673,0.00315591203091692,1.22317259120581,0.0314815210747515,1.22317259120581
"MSTRG.7008.10",5.95150435526428e-08,0.000382140076771049,29.3791329863775,5.06500023553645,1,6.58796391141309,1.01300004710729,0.00385276411468662,1.0091472829926,0.0291389171510496,1.0091472829926
"ENST00000367033.3",8.9075188621516e-08,0.000396685548381448,28.5979771480835,11.8736284348431,1,5.0901013408173,2.37472568696862,0.0156466608886787,2.35907902607994,0.0510131995683191,2.35907902607994
"ENST00000371941.3",9.08752353972238e-08,0.000396685548381448,28.5592377626745,4.99077000063943,1,6.29648717330116,0.998154000127887,0.00284702289575279,0.995306977232134,0.0323780248927585,0.995306977232134
"ENST00000332966.8",1.03958061898001e-07,0.000408414839875582,28.2988437634885,5.46452609529989,1,6.18015303454433,1.09290521905998,0.00524116200221263,1.08766405705777,0.0338009308397257,1.08766405705777
"MSTRG.12842.1",1.00915653365805e-07,0.000408414839875582,28.356342046333,3.40887464299297,1,7.4474720673722,0.681774928598595,0.000683257003161433,0.681091671595433,0.0222708064989145,0.681091671595433
"ENST00000262067.4",1.18781092626894e-07,0.000444427942427283,28.0408550475005,2.7923328931297,1,7.04288174115741,0.55846657862594,0.0010236990775933,0.557442879548347,0.0250314298609096,0.557442879548347
"ENST00000205948.8",1.39083881381183e-07,0.000494840090673772,27.7355404490155,11.4423984794075,1,6.72413223290516,2.28847969588149,0.00395304815376791,2.28452664772772,0.0277836797965223,2.28452664772772
"ENST00000375980.6",1.44850293173186e-07,0.000494840090673772,27.6569554203345,3.29191879425588,1,7.68773243325469,0.658383758851178,0.000732918978709443,0.657650839872468,0.0209623992254706,0.657650839872468
"MSTRG.6791.2",1.59257868213511e-07,0.000521390353297509,27.4735482207115,4.50061365677077,1,8.00293377144895,0.900122731354152,0.00813367389853721,0.891989057455616,0.0195686117180844,0.891989057455616
"MSTRG.25914.4",1.75289313807089e-07,0.000550920290150577,27.2880731025228,4.11427631804248,1,6.26749666518557,0.822855263608496,0.00511684498528348,0.817738418623213,0.0327248817008526,0.817738418623213
"ENST00000331817.5",2.15247674895089e-07,0.000583195019294201,26.8911012437784,2.1960044249564,1,10.3971336860782,0.439200884991283,3.7209978017823e-05,0.439163675013263,0.0179645242113233,0.439163675013263
"ENST00000357037.5",2.07958141195866e-07,0.000583195019294201,26.9576897429638,3.50270872534543,1,9.09394428822647,0.700541745069087,0.000353588064144779,0.700188157004942,0.0170534875393607,0.700188157004942
"ENST00000397528.6",2.02652023252092e-07,0.000583195019294201,27.0076482251326,6.16098016498626,1,6.88585547710437,1.23219603299725,0.0156340180111183,1.21656201498613,0.0263174755459004,1.21656201498613
"ENST00000401412.3",2.09912352720489e-07,0.000583195019294201,26.9396116105013,5.30432116096977,1,7.12561770641776,1.06086423219395,0.00480350430824076,1.05606072788571,0.0244046965263812,1.05606072788571
"ENST00000006053.6",3.15610420885574e-07,0.0006048404292742,26.1517532099896,21.5138566858811,1,4.66184337825647,4.30277133717621,0.0727446509317524,4.23002668624446,0.0590138491285099,4.23002668624446
"ENST00000296027.4",3.14377616200427e-07,0.0006048404292742,26.1593105208924,5.91112430592761,1,8.06379278253002,1.18222486118552,0.000534195628103325,1.18169066555742,0.0193381458514147,1.18169066555742
"ENST00000306773.4",2.88191274672346e-07,0.0006048404292742,26.3272657828929,21.7658097541655,1,7.16410411409393,4.3531619508331,0.00276576496114816,4.35039618587195,0.0241245697535084,4.35039618587195
