"target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"ENST00000371817.5",5.43021211369734e-187,4.26668056409541e-182,2.28206329782159,0.0782472948530979,7.87442064951053,1.56959683502111,0.00218183769392695,0.00688437035831995,0.0070021210338145,0.0070021210338145
"ENST00000264563.4",2.36120978903223e-150,9.27636683768145e-146,2.98528982045322,0.114306158100387,6.19507349162,2.68926567096608,0.00506738908045443,0.0145314575890517,0.0134549505028232,0.0145314575890517
"ENST00000359534.3",1.83599651111379e-139,4.80865846225812e-135,-2.6102844953144,0.103831553942841,6.23477314496527,2.05338753023262,0.00296655349847824,0.00867342936278005,0.0132049338927995,0.0132049338927995
"ENST00000374736.5",5.33293102191585e-134,1.04756097296248e-129,2.66324549179125,0.108108325939773,6.04782296596325,2.13742076501285,0.00308257899974827,0.00886467118641081,0.0144485362065019,0.0144485362065019
"MSTRG.25851.2",5.460807018001e-123,8.58143979650785e-119,4.36684683805871,0.185151550056664,5.49541634210196,5.72678641510071,0.0320465231837208,-0.024570244456588,0.0193751215488573,0.0193751215488573
"ENST00000489523.3",9.17636035182805e-119,1.20169026987364e-114,-2.10635647763,0.0909094510158274,7.7863314857634,1.34093871719695,0.00150154607662746,0.0108952463493712,0.0071745124671755,0.0108952463493712
"ENST00000552150.3",6.2098103732664e-116,6.97033472083802e-112,7.38993212304214,0.322882777662447,3.00181888096112,16.3836611272704,0.00501156102853119,-0.00459644562936613,0.151368371137995,0.151368371137995
"ENST00000549078.3",1.72018031305409e-112,1.68949659671998e-108,-1.76718964651478,0.0784057286608398,7.535242807939,0.944029535912349,0.00147651528397035,0.00745068707558206,0.00774467214628551,0.00774467214628551
"ENST00000373700.6",1.55547533881075e-103,1.35798181995974e-99,1.75451056023534,0.0812023586404008,7.45918722534163,0.926992382578962,0.00194857137160774,0.00242666711060047,0.00794216320153868,0.00794216320153868
"ENST00000205948.8",8.58757166347652e-95,6.74751268314341e-91,-2.74907562573059,0.133087242957633,6.72413223290516,2.28847969588149,0.00395304815376791,0.0226152732033281,0.010583353213192,0.0226152732033281
"ENST00000448775.3",6.92749002308033e-90,4.94830612348628e-86,2.17650971619635,0.108267174763583,6.15693211411108,1.42683799640804,0.00388072268775408,0.00321881856086898,0.0137019490091783,0.0137019490091783
"ENST00000375980.6",2.18695098382507e-89,1.43196083043406e-85,1.47461624956035,0.0735615819061322,7.68773243325469,0.658383758851178,0.000732918978709443,0.00681187328497977,0.00738404052008944,0.00738404052008944
"MSTRG.20766.2",1.54018075796586e-87,9.30897097658857e-84,-2.01865831456044,0.101781926142295,6.37335960463446,1.22632850323673,0.00315591203091692,0.00163669541099436,0.0123834287029364,0.0123834287029364
"MSTRG.12842.1",5.18680591671669e-87,2.91102072352986e-83,1.50205954019594,0.0759689864660234,7.4474720673722,0.681774928598595,0.000683257003161433,0.00546683038497115,0.00797367335385085,0.00797367335385085
"ENST00000357037.5",2.15441378051572e-83,1.12852502650974e-79,1.52001614108898,0.0785653884660081,9.09394428822647,0.700541745069087,0.000353588064144779,0.00890519233307736,0.00579468807291495,0.00890519233307736
"ENST00000401412.3",3.81182040714988e-83,1.87191353031867e-79,-1.87048440223405,0.0968274345321457,7.12561770641776,1.06086423219395,0.00480350430824076,0.00925982380887469,0.00896259064722357,0.00925982380887469
"ENST00000394945.3",2.49892312390344e-79,1.15498756832038e-75,7.00960912889605,0.371693586483302,2.81165738388808,14.8083742146687,0.0152608673023033,0.0697243485700022,0.191973316046926,0.191973316046926
"ENST00000389131.5",5.95470547369379e-77,2.59932818435857e-73,2.03297582443416,0.109494650783211,7.77170703494117,1.25428410508029,0.000830659553225394,0.0171529582719806,0.00720446523500614,0.0171529582719806
"ENST00000395938.4",1.25086711268091e-76,5.17286219182509e-73,1.56215838279926,0.0843179711420681,7.23363347265457,0.73538905711674,0.00206127364374785,0.00204799289593204,0.00860300674252408,0.00860300674252408
"ENST00000584437.3",1.9081883851242e-75,7.49660429921818e-72,-3.29278981544577,0.179153058340536,5.78501386545021,3.25683692952555,0.0316044871713668,-0.0264826135281815,0.0165392402977847,0.0165392402977847
"ENST00000306773.4",3.54636546877766e-75,1.32689797132508e-71,3.78683484223242,0.206410824428445,7.16410411409393,4.3531619508331,0.00276576496114816,0.0611423777006975,0.00883107771779191,0.0611423777006975
"MSTRG.7008.10",9.18907840862844e-75,3.28187935364165e-71,-1.83521812775095,0.100316445484984,6.58796391141309,1.01300004710729,0.00385276411468662,-0.000612296390215469,0.011242319737426,0.011242319737426
"ENST00000369838.5",6.24504959952124e-74,2.13344470514427e-70,-2.38747026083208,0.13125504629186,5.74833666172854,1.73067773851978,0.00536239606450706,0.0204794347011104,0.0168700943049725,0.0204794347011104
"ENST00000331817.5",1.02473192768069e-73,3.35484423973563e-70,1.20394500585906,0.0662878227202435,10.3971336860782,0.439200884991283,3.7209978017823e-05,0.00540755483621476,0.00655390318346782,0.00655390318346782
"ENST00000296027.4",3.95736651938974e-73,1.24376863811204e-69,1.9731073965394,0.109083384397662,8.06379278253002,1.18222486118552,0.000534195628103325,0.0173145814993689,0.00667594794466469,0.0173145814993689
"ENST00000371941.3",6.54862936253532e-71,1.97902098039418e-67,1.82014659585927,0.102230931450568,6.29648717330116,0.998154000127887,0.00284702289575279,0.00249536585732429,0.0128297221221232,0.0128297221221232
"ENST00000269593.4",9.53300055576435e-70,2.77420908395582e-66,1.31223693875964,0.0743321872911372,10.4901311007114,0.523220063914563,3.36689793563619e-05,0.0082542421218707,0.00669554095914526,0.0082542421218707
"ENST00000311620.6",2.46432303074603e-69,6.91533048195741e-66,-2.58863721008596,0.147081867271637,5.7957987941615,2.03627247244862,0.00777375924913931,0.024675854271028,0.0164439713298687,0.024675854271028
"ENST00000367033.3",2.19517073978063e-68,5.94762588057873e-65,-2.80845691269904,0.160706598261613,5.0901013408173,2.37472568696862,0.0156466608886787,-0.00502588861053269,0.0230932551985503,0.0230932551985503
